Data intrare,Symbol,Semnal,Pret intrare,TP,SL,Size,Rezultat,Data iesire,PnL $,PnL %
03.05.2026 06:01,ETHUSDT,SELL,2302.46000,2256.41080,2325.48460,10$,OPEN,,0.00$,0.00%
03.05.2026 05:31,SOLUSDT,SELL,83.72700,82.05246,84.56427,10$,OPEN,,0.00$,0.00%
03.05.2026 04:00,DOGEUSDT,SELL,0.10780,0.10564,0.10888,10$,OPEN,,0.00$,0.00%
03.05.2026 00:31,ETHUSDT,BUY,2315.74000,2362.05480,2292.58260,10$,OPEN,,0.00$,0.00%
03.05.2026 00:02,SOLUSDT,BUY,84.27100,85.95642,83.42829,10$,OPEN,,0.00$,0.00%
02.05.2026 11:38,ETHUSDT,TP_HIT,2302.84000,2371.93000,2279.81000,10$,TP_HIT,02.05.2026 11:38,0.01$,0.08%
02.05.2026 11:52,SOLUSDT,SELL,83.72,82.05,84.56,10$,SL_HIT,02.05.2026 13:38,-0.02$,-0.23%
02.05.2026 11:21,DOGEUSDT,SELL,0.10769,0.10554,0.10877,10$,SL_HIT,02.05.2026 13:39,-0.02$,-1.67%
01.05.2026 23:21,BTCUSDT,BUY,78312,80661,77137,10$,SL_HIT,02.05.2026 13:51,-0.17$,-0.23%
01.05.2026 23:21,ETHUSDT,BUY,2302.84,2371.93,2279.81,10$,SL_HIT,02.05.2026 13:51,-0.03$,-0.14%
01.05.2026 21:50,SOLUSDT,BUY,84.15,86.67,82.89,10$,OPEN,,0.00$,0.00%
01.05.2026 11:21,ETHUSDT,BUY,2278.55,2324.12,2255.76,10$,TP_HIT,01.05.2026 21:44,0.23$,+0.99%
01.05.2026 10:51,SOLUSDT,BUY,83.644,85.317,82.808,10$,TP_HIT,01.05.2026 21:44,0.00$,+0.02%
01.05.2026 07:50,DOGEUSDT,BUY,0.1083,0.1104,0.1072,10$,TP_HIT,01.05.2026 21:44,0.25$,+2.24%
01.05.2026 03:20,ETHUSDT,SELL,2257.27,2212.12,2279.84,10$,SL_HIT,01.05.2026 06:51,-0.12$,-1.19%
30.04.2026 22:21,SOLUSDT,SELL,83.028,81.367,83.858,10$,SL_HIT,01.05.2026 06:51,-0.13$,-1.30%
30.04.2026 17:02,BTCUSDT,SELL,75736,73464,76872,10$,SL_HIT,30.04.2026 17:02,-0.10$,-0.99%
30.04.2026 14:50,ETHUSDT,SELL,2248,2180,2281,10$,SL_HIT,30.04.2026 14:50,-0.08$,-0.79%
30.04.2026 14:13,ETHUSDT,SELL,2248,2180,2281,10$,SL_HIT,30.04.2026 14:13,-0.05$,-0.50%
30.04.2026 13:51,DOGEUSDT,BUY,0.1065,0.1086,0.1054,10$,TP_HIT,30.04.2026 17:35,0.23$,+2.27%
30.04.2026 06:20,DOGEUSDT,BUY,0.10520,0.10836,0.10362,10$,TP_HIT,30.04.2026 12:51,0.20$,+2.27%
30.04.2026 00:21,SOLUSDT,SELL,82.58,80.10,83.82,10$,SL_HIT,30.04.2026 03:40,-0.12$,-1.55%
30.04.2026 00:21,ETHUSDT,SELL,2242,2175,2276,10$,SL_HIT,30.04.2026 04:02,-0.34$,-1.50%
30.04.2026 00:21,BTCUSDT,SELL,75660,73390,76795,10$,TP_HIT,30.04.2026 09:26,0.06$,+0.08%
29.04.2026 21:21,ETHUSDT,SELL,2280,2212,2314,10$,SL_HIT,29.04.2026 21:59,0.45$,+0.99%
29.04.2026 21:21,BTCUSDT,SELL,76083,73801,77224,10$,TP_HIT,29.04.2026 21:59,0.61$,+0.81%
29.04.2026 20:21,ETHUSDT,LONG,2323.99,2393.71,2289.13,10$,SL_HIT,29.04.2026 20:21,-0.24$,-2.43%
29.04.2026 18:50,BTCUSDT,BUY,77506,79831,76343,10$,SL_HIT,29.04.2026 18:50,-0.16$,-1.61%
29.04.2026 15:22,DOGEUSDT,BUY,0.10830,0.11155,0.10668,10$,SL_HIT,29.04.2026 18:39,-0.46$,-4.50%
29.04.2026 10:21,ETHUSDT,BUY,2323.99,2393.71,2289.13,10$,SL_HIT,29.04.2026 18:39,-0.47$,-2.03%
29.04.2026 08:52,SOLUSDT,SELL,83.541,81.034,84.794,10$,SL_HIT,29.04.2026 08:52,-0.16$,-1.55%
29.04.2026 08:52,ETHUSDT,SELL,2284.02,2215.50,2318.28,10$,SL_HIT,29.04.2026 08:52,-0.18$,-1.81%
28.04.2026 22:20,DOGEUSDT,BUY,0.09945,0.10243,0.09796,10$,TP_HIT,29.04.2026 10:38,0.51$,+3.04%
28.04.2026 20:19,SOLUSDT,SELL,83.541,81.035,84.794,10$,SL_HIT,29.04.2026 09:51,-0.11$,-1.29%
28.04.2026 12:24,BTCUSDT,SELL,76753,74451,77905,10$,SL_HIT,29.04.2026 09:52,-0.15$,-0.20%
28.04.2026 12:24,ETHUSDT,SELL,2284.02,2215.50,2318.28,10$,SL_HIT,29.04.2026 09:51,-0.37$,-1.61%
28.04.2026 11:19,DOGEUSDT,BUY,0.09956,0.10255,0.09807,10$,SL_HIT,28.04.2026 12:37,-0.04$,-0.36%
27.04.2026 22:19,DOGEUSDT,SELL,0.09781,0.09488,0.09928,10$,OPEN,,0.00$,0.00%
27.04.2026 21:52,ETHUSDT,SELL,2285.98,2217.40,2320.27,10$,OPEN,,0.00$,0.00%
27.04.2026 18:21,BTCUSDT,SELL,77750,75418,78916,10$,SL_HIT,27.04.2026 18:18,-3.36$,-4.33%
27.04.2026 18:02,SOLUSDT,SELL,85.333,82.773,86.613,10$,OPEN,,0.00$,0.00%
